Player,Pos,Age,Tm,G,GS,MP_x,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MP_y,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP,Players,Season,ALL_STAR
Steven Adams,C,26,OKC,58,58,27.0,4.5,7.6,.591,0.0,0.1,.333,4.5,7.6,.593,.593,1.9,3.2,.590,3.4,6.0,9.4,2.4,0.9,1.1,1.5,1.9,10.9,1564,20.8,.605,.007,.413,14.4,23.8,19.3,13.5,1.6,3.5,14.1,17.2,,3.7,2.5,6.2,.190,,2.1,1.1,3.2,2.0,,,NO
Bam Adebayo,PF,22,MIA,65,65,34.4,6.3,11.1,.567,0.0,0.2,.077,6.3,10.9,.576,.568,3.6,5.3,.690,2.5,8.0,10.5,5.1,1.2,1.3,2.8,2.5,16.2,2235,20.6,.606,.018,.476,8.7,25.0,17.2,23.6,1.7,3.8,17.5,20.8,,4.6,3.6,8.1,.175,,1.6,2.1,3.6,3.2,Bam Adebayo,2020.0,YES
LaMarcus Aldridge,C,34,SAS,53,53,33.1,7.4,15.0,.493,1.2,3.0,.389,6.2,12.0,.519,.532,3.0,3.6,.827,1.9,5.5,7.4,2.4,0.7,1.6,1.4,2.4,18.9,1754,19.8,.571,.198,.241,6.3,17.8,12.0,11.4,1.0,4.4,7.8,23.6,,3.1,1.4,4.4,.122,,1.8,-0.5,1.3,1.5,,,NO
Nickeil Alexander-Walker,SG,21,NOP,41,0,12.2,1.9,5.5,.339,1.0,2.9,.342,0.9,2.7,.336,.427,0.4,0.7,.607,0.2,1.8,2.0,1.8,0.3,0.2,1.0,1.1,5.1,501,7.6,.441,.515,.123,1.7,15.2,8.4,20.3,1.0,1.2,14.3,22.8,,-0.7,0.4,-0.4,-0.034,,-3.5,-1.4,-4.9,-0.4,,,NO
Grayson Allen,SG,24,MEM,30,0,16.6,2.6,5.9,.449,1.1,3.0,.363,1.5,2.8,.541,.543,1.0,1.2,.857,0.2,2.0,2.2,1.4,0.2,0.0,0.8,1.2,7.4,498,11.4,.577,.517,.199,1.1,12.6,7.0,11.8,0.6,0.2,10.7,17.9,,0.5,0.3,0.7,.070,,-1.0,-1.5,-2.6,-0.1,,,NO
Jarrett Allen,C,21,BRK,64,58,25.7,4.2,6.5,.646,0.0,0.1,.000,4.2,6.4,.654,.646,2.3,3.7,.620,3.0,6.4,9.5,1.3,0.6,1.3,1.1,2.3,10.6,1647,20.3,.658,.012,.574,12.5,25.0,18.9,7.8,1.1,4.3,12.2,15.0,,4.3,2.8,7.1,.207,,1.0,1.1,2.1,1.7,,,NO
Kadeem Allen,SG,27,NYK,10,0,11.7,1.9,4.4,.432,0.5,1.6,.313,1.4,2.8,.500,.489,0.7,1.1,.636,0.2,0.7,0.9,2.1,0.5,0.2,0.8,0.7,5.0,117,14.0,.512,.364,.250,1.8,6.6,4.1,27.0,2.1,1.6,14.1,20.6,,0.1,0.1,0.1,.053,,0.0,-0.6,-0.6,0.0,,,NO
Al-Farouq Aminu,PF,29,ORL,18,2,21.1,1.4,4.8,.291,0.5,2.0,.250,0.9,2.8,.320,.343,1.1,1.6,.655,1.3,3.5,4.8,1.2,1.0,0.4,0.9,1.5,4.3,380,7.6,.395,.419,.337,6.6,18.4,12.3,7.4,2.3,1.9,14.7,13.2,,-0.4,0.5,0.1,.016,,-4.5,1.4,-3.1,-0.1,,,NO
Justin Anderson,SF,26,BRK,3,0,5.7,0.3,2.0,.167,0.0,1.0,.000,0.3,1.0,.333,.167,0.3,0.7,.500,0.0,0.7,0.7,0.0,0.0,0.3,0.0,0.7,1.0,17,-3.8,.218,.500,.333,0.0,11.8,6.1,0.0,0.0,4.9,0.0,16.9,,-0.1,0.0,-0.1,-0.167,,-12.8,-2.3,-15.1,-0.1,,,NO
Kyle Anderson,PF,26,MEM,59,20,19.3,2.3,4.7,.493,0.3,1.1,.258,2.1,3.7,.560,.521,0.7,1.1,.652,0.9,3.4,4.4,2.2,0.8,0.5,0.9,1.4,5.7,1140,13.0,.542,.221,.236,5.1,18.3,11.8,15.1,1.9,2.4,15.1,13.3,,0.9,1.4,2.2,.095,,-1.3,1.9,0.6,0.7,,,NO
